County,Sub_County,Zone,School,No_of_Devices,FID
BOMET COUNTY,SOTIK,KAPLETUNDO,KAMBIRA,102,345
BARINGO COUNTY,BARINGO NORTH,BARWESSA,KORMOR,31,346
BOMET COUNTY,CHEPALUNGU,CHEBUNYO,KIPROROGET,35,347
BARINGO COUNTY,MARIGAT,MOCHONGOI,TUIYOTICH,42,348
BARINGO COUNTY,BARINGO CENTRAL,KABASIS,TARTAR,18,349
BARINGO COUNTY,BARINGO NORTH,BARWESSA,LEKEPCHUN,29,350
BOMET COUNTY,SOTIK,KAPLETUNDO,BALEK 'A',47,351
BARINGO COUNTY,MARIGAT,MOCHONGOI,KAPKECHIR,41,352
BOMET COUNTY,CHEPALUNGU,CHEBUNYO,KAMOGIBOI,40,353
BARINGO COUNTY,KOIBATEK,LEMBUS,KAMASABA,50,354
BOMET COUNTY,SOTIK,KIPSONOI,KAPKURESS,57,355
BARINGO COUNTY,BARINGO NORTH,BARWESSA,CHEBUGAR,28,356
BARINGO COUNTY,KOIBATEK,LEMBUS,KEWANGOI,43,357
BARINGO COUNTY,MARIGAT,MOCHONGOI,SINENDET,40,358
BOMET COUNTY,CHEPALUNGU,CHEBUNYO,KAMAGET,28,359
BARINGO COUNTY,BARINGO NORTH,BARWESSA,LAWAN,26,360
BOMET COUNTY,SOTIK,KIPSONOI,KIPKETII,71,361
BOMET COUNTY,CHEPALUNGU,CHEBUNYO,KIPKELAT,30,362
BARINGO COUNTY,MARIGAT,MOCHONGOI,KOITILIL,39,363
BARINGO COUNTY,KOIBATEK,LEMBUS,KIPTUNO,56,364
BARINGO COUNTY,KOIBATEK,LEMBUS,POROR,48,365
BOMET COUNTY,KONOIN,CHEPTALAL,MESWONDO,66,366
BARINGO COUNTY,MARIGAT,MOCHONGOI,TULWOBSOO,36,367
BARINGO COUNTY,BARINGO NORTH,BARWESSA,KAPTILOMWO,15,368
BOMET COUNTY,SOTIK,KIPSONOI,CHEMOGOI,72,369
BARINGO COUNTY,MOGOTIO,KISANANA/NGELELO,POMBO,76,370
BOMET COUNTY,SOTIK,KIPSONOI,KAMUREITO,33,371
BARINGO COUNTY,BARINGO NORTH,BARWESSA,SIBOO,14,372
BARINGO COUNTY,MOGOTIO,KISANANA/NGELELO,OLDEBES,51,373
BOMET COUNTY,SOTIK,KIPSONOI,CHOROROITA,45,374
BARINGO COUNTY,BARINGO NORTH,BARWESSA,BARTOGO,13,375
BOMET COUNTY,CHEPALUNGU,KAPKESOSIO,KIMENDERIT,35,376
BARINGO COUNTY,BARINGO NORTH,BARWESSA,KAMOGOI,13,377
BARINGO COUNTY,BARINGO NORTH,BARWESSA,KAPTOROT,10,378
BOMET COUNTY,CHEPALUNGU,KAPKESOSIO,TEBESWET,66,379
BOMET COUNTY,CHEPALUNGU,KAPKESOSIO,KERUNDUT,55,380
BARINGO COUNTY,BARINGO NORTH,BARWESSA,SENEBO,10,381
BOMET COUNTY,CHEPALUNGU,KAPKESOSIO,CHEPTAGUM,50,382
BOMET COUNTY,CHEPALUNGU,KAPKESOSIO,OLESOI,35,383
BOMET COUNTY,CHEPALUNGU,KAPKESOSIO,NYAMBUGO,60,384
BOMET COUNTY,CHEPALUNGU,KONGASIS,KIRIBA,84,385
BOMET COUNTY,CHEPALUNGU,KONGASIS,KIPKUROR,59,386
BOMET COUNTY,CHEPALUNGU,KONGASIS,ST. JOSEPH KAPSIRICH,47,387
BOMET COUNTY,CHEPALUNGU,KONGASIS,KIBOSON,59,388
BOMET COUNTY,KONOIN,KIMULOT,KIMULOT,97,389
BOMET COUNTY,KONOIN,KIMULOT,MUGENYI,80,390
BOMET COUNTY,KONOIN,KIMULOT,KAPKILAIBEI,68,391
BOMET COUNTY,KONOIN,KIMULOT,KAPTEBENGWET,66,392
BOMET COUNTY,KONOIN,KIMULOT,KAPSET,87,393
BOMET COUNTY,KONOIN,KOIWA,RERENDET,83,394
BOMET COUNTY,KONOIN,KOIWA,CHEPTINGTING,60,395
BOMET COUNTY,KONOIN,KOIWA,SEANIN,57,396
BOMET COUNTY,KONOIN,KOIWA,LEBEKYET,44,397
BOMET COUNTY,KONOIN,KOIWA,RUSEYA,54,398
BOMET COUNTY,KONOIN,MOGOGOSIEK,MOGOGOSIEK TOWNSHIP,122,399
BOMET COUNTY,KONOIN,MOGOGOSIEK,CHORWET,51,400
BOMET COUNTY,KONOIN,MOGOGOSIEK,NGERERIT,30,401
BOMET COUNTY,CHEPALUNGU,LELATICH,LELAITICH,68,402
BOMET COUNTY,BOMET                                             ,MERIGI,MONONWET,24,403
BOMET COUNTY,BOMET                                             ,MERIGI,CHEPKOLON,66,404
BOMET COUNTY,CHEPALUNGU,LELATICH,LUGUMEK,60,405
BOMET COUNTY,CHEPALUNGU,LELATICH,KAPSA BUL,64,406
BOMET COUNTY,BOMET                                             ,MERIGI,MOTIGO,52,407
BOMET COUNTY,BOMET                                             ,MERIGI,CHEBISIAN,60,408
BOMET COUNTY,CHEPALUNGU,LELATICH,CHEMENGWA,59,409
BOMET COUNTY,CHEPALUNGU,MAKIMENY,NDAMICHONIK,61,410
BOMET COUNTY,BOMET                                             ,MERIGI,CHEPKONGONY,33,411
BOMET COUNTY,BOMET                                             ,MERIGI,KECHEIYAT,36,412
BOMET COUNTY,CHEPALUNGU,MAKIMENY,KABEMA,70,413
BOMET COUNTY,CHEPALUNGU,MAKIMENY,SAUNET,59,414
BOMET COUNTY,BOMET                                             ,MERIGI,MERIGI,45,415
BOMET COUNTY,BOMET                                             ,MERIGI,TIROTO,45,416
BOMET COUNTY,CHEPALUNGU,MAKIMENY,MENGWET,50,417
BOMET COUNTY,CHEPALUNGU,SIGOR-B,CHEBELION,46,418
BOMET COUNTY,BOMET                                             ,MERIGI,MAGENJI,48,419
BOMET COUNTY,BOMET                                             ,MERIGI,BONYORYOT,32,420
BOMET COUNTY,CHEPALUNGU,SIGOR-B,OREIYET,77,421
BOMET COUNTY,BOMET                                             ,MERIGI,KAMOYO,15,422
BOMET COUNTY,CHEPALUNGU,SIGOR-B,SIGOR,52,423
BOMET COUNTY,BOMET                                             ,KEMBU,CHEPKITWAL,66,424
BOMET COUNTY,CHEPALUNGU,SIGOR-B,ST. PATRICK CHEPTOLELYOI,32,425
BOMET COUNTY,BOMET                                             ,KEMBU,KIPTULWA,45,426
BOMET COUNTY,BOMET                                             ,KEMBU,LEBEKWET,44,427
BOMET COUNTY,CHEPALUNGU,SIGOR-B,CHEBARAA,40,428
BOMET COUNTY,BOMET                                             ,LONGISA,CHEBOIN,106,429
BOMET COUNTY,BOMET                                             ,KEMBU,MURWONGOI,41,430
BOMET COUNTY,BOMET                                             ,KEMBU,KONG'OTIK,41,431
BOMET COUNTY,BOMET                                             ,LONGISA,KALYET,75,432
BOMET COUNTY,BOMET                                             ,LONGISA,KORARA,82,433
BOMET COUNTY,BOMET                                             ,KEMBU,MOGOMA,43,434
BOMET COUNTY,BOMET                                             ,KEMBU,KESEBEK,28,435
BOMET COUNTY,BOMET                                             ,LONGISA,LEKIMBO,62,436
BOMET COUNTY,BOMET                                             ,LONGISA,KIPRERES,82,437
BOMET COUNTY,BOMET                                             ,KEMBU,KINYOSE,28,438
BOMET COUNTY,BOMET                                             ,KEMBU,NDERIAT,30,439
BOMET COUNTY,BOMET                                             ,KEMBU,TANGUT,20,440
BOMET COUNTY,BOMET                                             ,LONGISA,MULOT,50,441
BOMET COUNTY,BOMET                                             ,KIPLABOTWA,NDABIBI,106,442
BOMET COUNTY,BOMET                                             ,LONGISA,BOREIYWEK,34,443
BOMET COUNTY,BOMET                                             ,KIPLABOTWA,KIPLABOTWA,61,444
BOMET COUNTY,BOMET                                             ,LONGISA,MASARE,50,445
BOMET COUNTY,BOMET                                             ,CHESOEN,KAMOGOSO,93,446
BOMET COUNTY,BOMET                                             ,LONGISA,TORONIK,55,447
BOMET COUNTY,BOMET                                             ,CHESOEN,TAABET,69,448
BOMET COUNTY,BOMET                                             ,LONGISA,NDUBAI,48,449
BOMET COUNTY,BOMET                                             ,KEMBU,SAOSET,78,450
BOMET COUNTY,BOMET                                             ,KEMBU,NORERA,90,451
BOMET COUNTY,BOMET                                             ,LONGISA,OLBOBO,53,452
BOMET COUNTY,BOMET                                             ,CHESOEN,CHESOEN,68,453
BOMET COUNTY,BOMET                                             ,KEMBU,MOGITUI,72,454
BOMET COUNTY,BOMET                                             ,CHESOEN,KIPLOKYI,58,455
BOMET COUNTY,BOMET                                             ,LONGISA,SIWOT,46,456
BOMET COUNTY,SOTIK,KAMUNGEI,LELECHWET,33,457
BOMET COUNTY,BOMET                                             ,KEMBU,KIPYOSIT,80,458
BOMET COUNTY,SOTIK,KAMUNGEI,KABORUSO KOLUU,30,459
BOMET COUNTY,BOMET                                             ,KEMBU,KAPORUSO,66,460
BOMET COUNTY,BOMET                                             ,LONGISA,NYAURURU,56,461
BOMET COUNTY,BOMET                                             ,CHESOEN,MORIT,71,462
BOMET COUNTY,CHEPALUNGU,SIONGIROI,KAPTWOLO,130,463
BOMET COUNTY,BOMET                                             ,KIROMWOK,BELGUT,54,464
BOMET COUNTY,BOMET                                             ,LONGISA,KIPTOBIT,42,465
BOMET COUNTY,SOTIK,KAMUNGEI,CHERIBO,35,466
BOMET COUNTY,SOTIK,KAPLETUNDO,KIMOLWET,48,467
BOMET COUNTY,BOMET                                             ,LONGISA,CHEPKIRIB,60,468
BOMET COUNTY,BOMET                                             ,KIROMWOK,KIRAMWOK,30,469
BOMET COUNTY,CHEPALUNGU,SIONGIROI,SIONGIROI,83,470
BOMET COUNTY,CHEPALUNGU,SIONGIROI,KAPSINENDET CENTRAL,87,471
BOMET COUNTY,BOMET                                             ,KIROMWOK,BUKACHA,45,472
BOMET COUNTY,BOMET                                             ,LONGISA,KUGUNOI,44,473
BOMET COUNTY,SOTIK,KAPLETUNDO,CHEPTANGULGEI,51,474
BOMET COUNTY,SOTIK,KAPLETUNDO,KERONJO,52,475
BOMET COUNTY,BOMET                                             ,LONGISA,EMITIOT,44,476
BOMET COUNTY,SOTIK,SOTIK,CHEBONGI,149,477
BOMET COUNTY,CHEPALUNGU,SIONGIROI,KABISIMBA,59,478
BOMET COUNTY,SOTIK,KAPLETUNDO,CHESILYOT,55,479
BOMET COUNTY,BOMET                                             ,LONGISA,CENTRAL,29,480
BOMET COUNTY,SOTIK,SOTIK,KAPCHEPKORO,80,481
BOMET COUNTY,CHEPALUNGU,SIONGIROI,ATEBWO,77,482
BOMET COUNTY,CHEPALUNGU,SIONGIROI,KIPTAGE,67,483
BOMET COUNTY,SOTIK,SOTIK,SOTIK,84,484
BOMET COUNTY,BOMET                                             ,KEMBU,KAPCHELUCH,46,485
BOMET COUNTY,SOTIK,KAPLETUNDO,KAPLETUNDO,27,486
BOMET COUNTY,BOMET                                             ,CHEMANER,MANGOITA,68,487
BOMET COUNTY,BOMET                                             ,CHEMANER,SIGOWET,48,488
BOMET COUNTY,SOTIK,KAPLETUNDO,KIMAWIT,44,489
BOMET COUNTY,BOMET                                             ,KEMBU,SONOIYA,40,490
BOMET COUNTY,SOTIK,SOTIK,KAPCHOLYO,87,491
BOMET COUNTY,CHEPALUNGU,SIONGIROI,NGENENET,46,492
BOMET COUNTY,SOTIK,NDANAI,TUIYOTICH,76,493
BOMET COUNTY,SOTIK,SOTIK,MONIRE,62,494
BOMET COUNTY,BOMET                                             ,KEMBU,LALAKIN,53,495
BOMET COUNTY,SOTIK,KAPLETUNDO,CHESILYOT GIRLS BOARDING,15,496
BOMET COUNTY,BOMET                                             ,CHEMANER,MATECHA,70,497
BOMET COUNTY,BOMET                                             ,CHESOEN,KITAIMA,52,498
BOMET COUNTY,SOTIK,KAPLETUNDO,TEMBWET,26,499
BOMET COUNTY,BOMET                                             ,KEMBU,KIPKURION,19,500
BOMET COUNTY,SOTIK,TARAKWA,CHEBITET,41,501
BOMET COUNTY,SOTIK,NDANAI,OLDEBESI,65,502
BOMET COUNTY,SOTIK,ABOSI,GELEGELE,16,503
BOMET COUNTY,SOTIK,ABOSI,KORONGORO,27,504
BOMET COUNTY,SOTIK,NDANAI,BAMBANIK,62,505
BOMET COUNTY,SOTIK,TARAKWA,MUIYWEK,64,506
BOMET COUNTY,BOMET                                             ,KEMBU,KEERTAI,31,507
BOMET COUNTY,SOTIK,KAPLETUNDO,KAPKESEMBE,49,508
BOMET COUNTY,BOMET                                             ,CHESOEN,KAPTETGOT,56,509
BOMET COUNTY,BOMET                                             ,CHESOEN,SEGUTIET,49,510
BOMET COUNTY,SOTIK,KAPLETUNDO,KAPTILOLWO,56,511
BOMET COUNTY,BOMET                                             ,KEMBU,MURANY,27,512
BOMET COUNTY,SOTIK,TARAKWA,TARAKWA,36,513
BOMET COUNTY,SOTIK,NDANAI,KAPSIONGO,56,514
BOMET COUNTY,SOTIK,ABOSI,SERTWET,20,515
BOMET COUNTY,BOMET                                             ,CHESOEN,MAASET,53,516
BOMET COUNTY,BOMET                                             ,CHESOEN,KIPLELJI,39,517
BOMET COUNTY,SOTIK,ABOSI,KAPTAMUITAA,19,518
BOMET COUNTY,SOTIK,NDANAI,SOMOE,58,519
BOMET COUNTY,SOTIK,TARAKWA,CHANGINA,45,520
BOMET COUNTY,BOMET                                             ,KEMBU,WASEGA,33,521
BOMET COUNTY,KONOIN,CHEPTALAL,KIPSEONOI,35,522
BOMET COUNTY,BOMET                                             ,KEMBU,MATAIMA,23,523
BOMET COUNTY,SOTIK,TARAKWA,OLDABACH,50,524
BOMET COUNTY,SOTIK,NDANAI,MOTIRET,66,525
BOMET COUNTY,SOTIK,ABOSI,KIPSIMBOL,24,526
BOMET COUNTY,BOMET                                             ,CHESOEN,BARAKA,34,527
BOMET COUNTY,SOTIK,KAPLETUNDO,CHEBILAT,30,528
BOMET COUNTY,SOTIK,KIPSONOI,KIPSONOI,44,529
BOMET COUNTY,KONOIN,CHEPTALAL,TEMBWET,45,530
BOMET COUNTY,BOMET                                             ,CHESOEN,KAMOBIRIRI,34,531
BOMET COUNTY,SOTIK,ABOSI,KOLYET,7,532
BOMET COUNTY,SOTIK,NDANAI,TAKITECH,56,533
BOMET COUNTY,SOTIK,TARAKWA,SOLYOT,50,534
BOMET COUNTY,BOMET                                             ,KIPLABOTWA,KOITA,61,535
BOMET COUNTY,BOMET                                             ,KIPLABOTWA,KIBISORONIK,43,536
BOMET COUNTY,KONOIN,MOGOGOSIEK,CHEPKOCHUN,54,537
BOMET COUNTY,SOTIK,NDANAI,SIGORIAN,50,538
BOMET COUNTY,SOTIK,KAMUNGEI,SOIYOIT,25,539
BOMET COUNTY,BOMET                                             ,CHESOEN,NG'OMWET,37,540
BOMET COUNTY,SOTIK,KIPSONOI,CHEBOLE,66,541
BOMET COUNTY,SOTIK,KIPSONOI,KAPCHEPKOSIOM,30,542
BOMET COUNTY,BOMET                                             ,CHESOEN,SIBAIYAN,32,543
BOMET COUNTY,BOMET                                             ,SILIBWET,KABUNGUT,90,544
BOMET COUNTY,SOTIK,NDANAI,KIPSINGEI,33,545
BOMET COUNTY,KONOIN,MOGOGOSIEK,KAPRORET,53,546
BOMET COUNTY,BOMET                                             ,KIPLABOTWA,CHELEMEI,38,547
BOMET COUNTY,CHEPALUNGU,KAPKESOSIO,CHEPTUONIK,38,548
BOMET COUNTY,CHEPALUNGU,KAPKESOSIO,KIPSIMBOI CENTRE,35,549
BOMET COUNTY,SOTIK,KAMUNGEI,SIROIN,54,550
BOMET COUNTY,KONOIN,MOGOGOSIEK,KAPTEMBWO,28,551
BOMET COUNTY,SOTIK,RONGENA,SARUCHAT,58,552
BOMET COUNTY,BOMET                                             ,SILIBWET,BALEK 'B',45,553
BOMET COUNTY,BOMET                                             ,CHESOEN,SAMOEI,34,554
BOMET COUNTY,SOTIK,KIPSONOI,KAPTULWA,22,555
BOMET COUNTY,SOTIK,KIPSONOI,KAMESWON,40,556
BOMET COUNTY,CHEPALUNGU,KAPKESOSIO,KIPSEGON,30,557
BOMET COUNTY,BOMET                                             ,SILIBWET,KAPSIGOWO,25,558
BOMET COUNTY,SOTIK,RONGENA,BURGEI,43,559
BOMET COUNTY,KONOIN,SAOSA,KORUMA,114,560
BOMET COUNTY,SOTIK,KAMUNGEI,KAPKOTIM,56,561
BOMET COUNTY,CHEPALUNGU,KAPKESOSIO,CHEBOIS,30,562
BOMET COUNTY,KONOIN,CHEPTALAL,KIPSIGIRYO,25,563
BOMET COUNTY,SOTIK,KIPSONOI,CHEBOET,29,564
BOMET COUNTY,CHEPALUNGU,KAPKESOSIO,KAPKESOSIO,52,565
BOMET COUNTY,BOMET                                             ,SILIBWET,AISAIK,40,566
BOMET COUNTY,SOTIK,RONGENA,KISABEI,45,567
BOMET COUNTY,KONOIN,SAOSA,CHEBANGANG,115,568
BOMET COUNTY,SOTIK,KAMUNGEI,KIBROBONYIT,46,569
BOMET COUNTY,CHEPALUNGU,KAPKESOSIO,KOTOIBEK,46,570
BOMET COUNTY,KONOIN,KOIWA,TEREK,37,571
BOMET COUNTY,SOTIK,KAMUNGEI,CHEMOBEI,32,572
BOMET COUNTY,KONOIN,SAOSA,TENDUET,90,573
BOMET COUNTY,SOTIK,RONGENA,KIPTORBEI,47,574
BOMET COUNTY,BOMET                                             ,SILIBWET,CHEPKURBET,51,575
BOMET COUNTY,CHEPALUNGU,KAPKESOSIO,SUGUMERGA,35,576
BOMET COUNTY,SOTIK,KIPSONOI,SUGURUSIEK,29,577
BOMET COUNTY,SOTIK,KIPSONOI,KAPNYASIMBA,15,578
BOMET COUNTY,CHEPALUNGU,KAPKESOSIO,TUMOI,34,579
BOMET COUNTY,BOMET                                             ,SILIBWET,KAPTORORGO,47,580
BOMET COUNTY,SOTIK,RONGENA,RONGENA,25,581
BOMET COUNTY,KONOIN,SAOSA,CHEPCHABAS,60,582
BOMET COUNTY,SOTIK,KAMUNGEI,MUNJAZZ,44,583
BOMET COUNTY,KONOIN,KOIWA,SINENDOIK,33,584
BOMET COUNTY,SOTIK,KAMUNGEI,KENENE,40,585
BOMET COUNTY,KONOIN,KOIWA,KIMAECH,51,586
BOMET COUNTY,KONOIN,MOGOGOSIEK,MOGONJET,38,587
BOMET COUNTY,BOMET                                             ,KEMBU,KAPKIMOLWA,70,588
BOMET COUNTY,BOMET                                             ,SILIBWET,CHEMATICH,25,589
BOMET COUNTY,CHEPALUNGU,KAPKESOSIO,CHEPTUIYET NGENDA,30,590
BOMET COUNTY,SOTIK,KIPSONOI,NGENDALEL,32,591
BOMET COUNTY,KONOIN,KOIWA,KABOMO,42,592
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,SILIBWET,39,593
BOMET COUNTY,BOMET                                             ,KEMBU,KEMBU,80,594
BOMET COUNTY,BOMET                                             ,SILIBWET,TIRGAGA,34,595
BOMET COUNTY,CHEPALUNGU,KAPKESOSIO,KESEGUT,35,596
BOMET COUNTY,SOTIK,KIPSONOI,KAPANGOROR,30,597
BOMET COUNTY,SOTIK,KIPSONOI,LELD.O.K,34,598
BOMET COUNTY,CHEPALUNGU,KONGASIS,KIMAYA,38,599
BOMET COUNTY,BOMET                                             ,CHESOEN,SERGUITIET,40,600
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,CHEPNGAINA,31,601
BOMET COUNTY,KONOIN,KOIWA,KOROITIK,35,602
BOMET COUNTY,KONOIN,KOIWA,CHONGENWO,38,603
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,MARIANGO,52,604
BOMET COUNTY,BOMET                                             ,CHESOEN,CHEPTEMBE,38,605
BOMET COUNTY,CHEPALUNGU,KONGASIS,CHEBANYINY,48,606
BOMET COUNTY,SOTIK,KIPSONOI,KINYELWET,25,607
BOMET COUNTY,SOTIK,KIPSONOI,SUMONI,21,608
BOMET COUNTY,CHEPALUNGU,KONGASIS,KESOSIO,50,609
BOMET COUNTY,BOMET                                             ,CHESOEN,KIMARGIS,35,610
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,KELYOT,40,611
BOMET COUNTY,KONOIN,KOIWA,SITONIK,51,612
BOMET COUNTY,CHEPALUNGU,KONGASIS,NYATEMBE,46,613
BOMET COUNTY,BOMET                                             ,CHESOEN,KIMANGORA,25,614
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,CHEBOINGONG,32,615
BOMET COUNTY,KONOIN,KOIWA,KOIWA,50,616
BOMET COUNTY,SOTIK,KIPSONOI,TUIYOGOK,20,617
BOMET COUNTY,CHEPALUNGU,KONGASIS,KAPRORON,31,618
BOMET COUNTY,BOMET                                             ,CHESOEN,LOSWET,38,619
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,DR. STEURY MEMORIAL,35,620
BOMET COUNTY,KONOIN,KOIWA,KIBANJALAL,38,621
BOMET COUNTY,SOTIK,RONGENA,KIPNGOSOS,32,622
BOMET COUNTY,CHEPALUNGU,KONGASIS,TIRIYTA,26,623
BOMET COUNTY,SOTIK,RONGENA,CHESERTON,33,624
BOMET COUNTY,KONOIN,KOIWA,KIPTENDEN,62,625
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,CHEBORIOT,43,626
BOMET COUNTY,BOMET                                             ,NDARAWETTA,TEGANDA,55,627
BOMET COUNTY,CHEPALUNGU,KONGASIS,SEGEMIK,44,628
BOMET COUNTY,BOMET                                             ,NDARAWETTA,NDARAWETA,56,629
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,KAPKWEN,33,630
BOMET COUNTY,KONOIN,KOIWA,TABAITA,50,631
BOMET COUNTY,SOTIK,RONGENA,TONONGOI,37,632
BOMET COUNTY,CHEPALUNGU,LELATICH,KABOSON,55,633
BOMET COUNTY,SOTIK,RONGENA,CHEBUKON,30,634
BOMET COUNTY,KONOIN,KOIWA,N.K. CHEBELYON,62,635
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,RAIYA,26,636
BOMET COUNTY,BOMET                                             ,NDARAWETTA,KWENIK-ABILET,80,637
BOMET COUNTY,KONOIN,CHEPTALAL,KIBOMUT,31,638
BOMET COUNTY,SOTIK,RONGENA,KIPNGOSSOS SPECIAL FOR MH,27,639
BOMET COUNTY,KONOIN,KOIWA,KETIK SOMOK,38,640
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,KAPLELACH 'B',36,641
BOMET COUNTY,BOMET                                             ,NDARAWETTA,SONOKWEK,52,642
BOMET COUNTY,CHEPALUNGU,LELATICH,KABOLWO,46,643
BOMET COUNTY,KONOIN,EMBOMOS,A.I.C EMMANUEL BOYS BOARDING,25,644
BOMET COUNTY,BOMET                                             ,NDARAWETTA,KAPNARIET,40,645
BOMET COUNTY,CHEPALUNGU,LELATICH,KOSIA,42,646
BOMET COUNTY,SOTIK,ABOSI,KAPLOMBOI,42,647
BOMET COUNTY,KONOIN,EMBOMOS,MOROMBO,35,648
BOMET COUNTY,KONOIN,CHEPTALAL,CHEPTALAL,34,649
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,KOISOMOI,32,650
BOMET COUNTY,SOTIK,ABOSI,SUGUTEK,33,651
BOMET COUNTY,CHEPALUNGU,LELATICH,NYAKICHIWA,57,652
BOMET COUNTY,BOMET                                             ,NDARAWETTA,MOGINDO,50,653
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,TUMOIYOT CENTRAL,36,654
BOMET COUNTY,KONOIN,CHEPTALAL,NDALELAI,58,655
BOMET COUNTY,SOTIK,ABOSI,NGURWO,27,656
BOMET COUNTY,CHEPALUNGU,LELATICH,KAMOSIRO,45,657
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,KAGAWET,34,658
BOMET COUNTY,KONOIN,CHEPTALAL,KIPSINENDE,40,659
BOMET COUNTY,BOMET                                             ,NDARAWETTA,MONDOIYWET,50,660
BOMET COUNTY,KONOIN,CHEPTALAL,SIMOTWET,25,661
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,KYOGONG,23,662
BOMET COUNTY,CHEPALUNGU,LELATICH,KAMOTYO,38,663
BOMET COUNTY,SOTIK,ABOSI,LALWAT,17,664
BOMET COUNTY,BOMET                                             ,NDARAWETTA,NYONGORES,52,665
BOMET COUNTY,KONOIN,CHEPTALAL,KOMIRMIR,25,666
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,MOBURO,34,667
BOMET COUNTY,CHEPALUNGU,LELATICH,KAPTUMOI,33,668
BOMET COUNTY,SOTIK,RONGENA,TEMBWO,56,669
BOMET COUNTY,BOMET                                             ,NDARAWETTA,KABUSARE,34,670
BOMET COUNTY,KONOIN,CHEPTALAL,KOBEL,26,671
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,KAPSIO,22,672
BOMET COUNTY,CHEPALUNGU,MAKIMENY,MAKIMENY,45,673
BOMET COUNTY,SOTIK,RONGENA,NGARIET,39,674
BOMET COUNTY,BOMET                                             ,NDARAWETTA,KIBOCHI,45,675
BOMET COUNTY,SOTIK,RONGENA,CHEPTEBE,30,676
BOMET COUNTY,CHEPALUNGU,MAKIMENY,CHEBORIAN,42,677
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,KAPKEMOI,30,678
BOMET COUNTY,KONOIN,EMBOMOS,CHEBUGEN,51,679
BOMET COUNTY,BOMET                                             ,CHEMANER,CHAMBORI,86,680
BOMET COUNTY,KONOIN,EMBOMOS,KOBOR,27,681
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,KISABITA,21,682
BOMET COUNTY,CHEPALUNGU,MAKIMENY,MATHEW MARITIM,49,683
BOMET COUNTY,SOTIK,RONGENA,KOKWON,27,684
BOMET COUNTY,BOMET                                             ,NDARAWETTA,SUGUTEK 'B',33,685
BOMET COUNTY,BOMET                                             ,CHEMANER,LELKATET,85,686
BOMET COUNTY,KONOIN,EMBOMOS,TALALGA,34,687
BOMET COUNTY,CHEPALUNGU,MAKIMENY,KAPSAIYALEL,42,688
BOMET COUNTY,BOMET                                             ,NDARAWETTA,SOGOET,30,689
BOMET COUNTY,SOTIK,RONGENA,CHILGOTWET,31,690
BOMET COUNTY,BOMET                                             ,BOMET TOWNSHIP,KOMA-TENGECHA,38,691
BOMET COUNTY,BOMET                                             ,CHEMANER,KIBIWOT 'B',35,692
